N_bdp,flow,trial,bits_per_second
0.5,0,1,0
0.5,1,1,3289667.592484581
0.5,2,1,6256267.532280524
0.5,3,1,9375741.065345217
0.5,4,1,8474595.019448765
0.5,5,1,18315080.882599264
0.5,6,1,18204902.55531656
0.5,7,1,14093533.581115915
0.5,8,1,17254234.131857257
0.5,9,1,19231881.5386847
0.5,10,1,19444552.364298064
0.5,11,1,20525210.157754052
0.5,12,1,21952720.17187866
0.5,13,1,21589426.076841936
0.5,14,1,22745502.024837177
0.5,15,1,25348317.820917
0.5,16,1,25523772.707641285
0.5,17,1,27237833.20701863
0.5,18,1,28097664.146407254
0.5,19,1,29350749.869007315
0.5,20,1,30176067.02027347
0.5,21,1,32026766.85385683
0.5,22,1,33857864.33666329
0.5,23,1,33417460.2362231
0.5,24,1,38480925.54663575
0.5,25,1,34901536.859982744
0.5,26,1,35223843.75675131
0.5,27,1,35055748.446354985
0.5,28,1,36687822.3067597
0.5,29,1,37155841.82911743
0.5,30,1,37536768.755473025
0.5,31,1,38549150.858031504
0.5,32,1,39131688.49163818
0.5,33,1,39948829.07703225
0.5,34,1,40117980.707356706
0.5,35,1,41002644.199376814
0.5,36,1,41724231.24223454
0.5,37,1,41806467.86269129
0.5,38,1,42413864.01649948
0.5,39,1,42913564.480834894
0.5,40,1,43477994.53195711
0.5,41,1,44150395.36859372
0.5,42,1,44396854.66814698
0.5,43,1,44871616.488215975
0.5,44,1,45411945.539189786
0.5,45,1,45744972.19901988
0.5,46,1,46249651.10421361
0.5,47,1,46578932.298498295
0.5,48,1,46975104.70196161
0.5,49,1,47328488.96478992
0.5,50,1,47783157.534761734
5,0,1,0
5,1,1,17943067.353457637
5,2,1,20876445.28388951
5,3,1,21785734.54687799
5,4,1,24082261.47065883
5,5,1,25821405.56000536
5,6,1,27966797.14990319
5,7,1,27620998.897006463
5,8,1,28623933.38164782
5,9,1,30510840.508545984
5,10,1,30829430.012667324
5,11,1,30895223.67776296
5,12,1,32290869.988150004
5,13,1,32872118.96420187
5,14,1,33205474.74257692
5,15,1,33690019.55199395
5,16,1,33974562.24916737
5,17,1,35013784.53705872
5,18,1,35666753.38054244
5,19,1,36025334.485969
5,20,1,36381274.8923951
5,21,1,36944136.07354441
5,22,1,37140940.56258461
5,23,1,37647536.62048116
5,24,1,38053854.03659019
5,25,1,38099795.413611196
5,26,1,38674158.765955806
5,27,1,39156997.5007573
5,28,1,40018189.81139622
5,29,1,40981378.402080655
5,30,1,41337938.61150751
5,31,1,41790557.039420426
5,32,1,42048041.561554626
5,33,1,42437190.16268862
5,34,1,42795583.71885731
5,35,1,43324907.50092491
5,36,1,43561229.09542245
5,37,1,43942170.29703089
5,38,1,44217501.8592004
5,39,1,45017961.34831696
5,40,1,44830304.765349604
5,41,1,45199102.953264184
5,42,1,45396283.35622182
5,43,1,45627935.41906966
5,44,1,46049666.332493275
5,45,1,46321769.758530416
5,46,1,46655648.082498305
5,47,1,46821647.635062866
5,48,1,47193278.82761351
5,49,1,47462928.33019518
5,50,1,47783575.72450367
10,0,1,0
10,1,1,14553689.253290597
10,2,1,17991816.458831295
10,3,1,17395005.995516412
10,4,1,20334105.56576816
10,5,1,21129916.516580354
10,6,1,22688717.429757014
10,7,1,22393563.29915455
10,8,1,23535051.369593672
10,9,1,25296632.65948992
10,10,1,25306276.12076556
10,11,1,26160073.48462805
10,12,1,26770596.700782686
10,13,1,27363922.318407767
10,14,1,28028018.77596237
10,15,1,28362162.920542914
10,16,1,29070911.89577778
10,17,1,29191722.84429481
10,18,1,29332264.79609764
10,19,1,30218608.07119125
10,20,1,30159885.566234533
10,21,1,31417518.1680152
10,22,1,32166870.70243146
10,23,1,32460426.284907974
10,24,1,32482710.747544236
10,25,1,33344703.372147232
