N_bdp,flow,trial,bits_per_second
0.5,0,1,95448446.19281383
0.5,1,1,53797112.197946444
0.5,2,1,27788570.106152516
0.5,3,1,12171514.851965692
0.5,4,1,9854764.214973846
0.5,5,1,8584060.221166432
0.5,6,1,8229843.8794977
0.5,7,1,7754505.663649558
0.5,8,1,7946958.379053397
0.5,9,1,7773711.8034703955
0.5,10,1,7342533.960237904
0.5,11,1,7335553.275869013
0.5,12,1,7071950.265355793
0.5,13,1,7109265.142216704
0.5,14,1,6973045.946592225
0.5,15,1,6368869.521439435
0.5,16,1,6150175.184053328
0.5,17,1,5843017.562772725
0.5,18,1,5487042.279557669
0.5,19,1,5374275.40054507
0.5,20,1,5173716.647019677
0.5,21,1,4930903.642193279
0.5,22,1,5018010.451243748
0.5,23,1,4581398.165362938
0.5,24,1,4584000.111658533
0.5,25,1,4559237.360279396
0.5,26,1,4367627.58503508
0.5,27,1,4168495.0510951136
0.5,28,1,4037323.678293997
0.5,29,1,3916041.025334663
0.5,30,1,3764504.7661388544
0.5,31,1,3875212.826349067
0.5,32,1,3902698.4263553685
0.5,33,1,3509913.2795694363
0.5,34,1,3454740.2498054327
0.5,35,1,3430836.0857799132
0.5,36,1,3085588.311007457
0.5,37,1,3106253.2770574535
0.5,38,1,2929072.5640297504
0.5,39,1,2646817.5040917164
0.5,40,1,2563388.333260434
0.5,41,1,2425772.5014936933
0.5,42,1,2182560.566953236
0.5,43,1,2088250.7617842322
0.5,44,1,1867686.2365302816
0.5,45,1,1613010.4319627208
0.5,46,1,1381939.6560074259
0.5,47,1,1087327.5371158323
0.5,48,1,726264.5015881247
0.5,49,1,414389.1921984311
0.5,50,1,0
5,0,1,95197650.32261533
5,1,1,71123675.45362943
5,2,1,57510433.78567011
5,3,1,53072830.1099401
5,4,1,52134343.654960625
5,5,1,51760125.95374137
5,6,1,51475181.86804054
5,7,1,50184580.29714824
5,8,1,51325635.71006963
5,9,1,50794207.3985589
5,10,1,50037743.61806613
5,11,1,48713624.410227865
5,12,1,48628125.62652799
5,13,1,48858024.34907883
5,14,1,48326882.97586518
5,15,1,47028082.6373824
5,16,1,46833252.493162654
5,17,1,45896948.53988877
5,18,1,45725717.237119555
5,19,1,45582834.78698624
5,20,1,45738828.74401493
5,21,1,46491796.749847226
5,22,1,43565763.611843765
5,23,1,44086176.41588754
5,24,1,44661255.280285016
5,25,1,43767725.69749949
5,26,1,45273964.02339251
5,27,1,43012937.187814936
5,28,1,44007165.34465756
5,29,1,43143797.660681956
5,30,1,39597115.920876935
5,31,1,42331627.25528086
5,32,1,41553154.50400573
5,33,1,39046638.7122653
5,34,1,37420077.93888748
5,35,1,37555034.34392754
5,36,1,35409470.74468403
5,37,1,36418313.15353689
5,38,1,35312318.92531547
5,39,1,35976787.66657079
5,40,1,32185651.814965248
5,41,1,33720984.150079824
5,42,1,31887734.55237438
5,43,1,34533923.4022638
5,44,1,36961601.050030485
5,45,1,35965747.1685047
5,46,1,39611459.483919345
5,47,1,39105045.01580876
5,48,1,40684208.030517146
5,49,1,21159629.646761607
5,50,1,0
10,0,1,95478004.07297073
10,1,1,79941530.03701057
10,2,1,68820628.26982625
10,3,1,63057519.00951954
10,4,1,56505597.174034856
10,5,1,56876563.37365266
10,6,1,55570744.646556705
10,7,1,53861721.13807006
10,8,1,53462478.34145337
10,9,1,54115050.90112392
10,10,1,53016775.49171146
10,11,1,51744386.46223828
10,12,1,51548560.137003295
10,13,1,50617991.362869345
10,14,1,52639579.87544255
10,15,1,50862715.78197867
10,16,1,50728585.0871415
10,17,1,51655814.6848223
10,18,1,52812476.07235828
10,19,1,50254469.88884775
10,20,1,48368618.19670745
10,21,1,48865617.01975173
10,22,1,48683910.7954224
10,23,1,48749286.71816311
10,24,1,49876507.55519204
10,25,1,52278988.981041454
10,26,1,50057681.35457602
10,27,1,50350860.19100788
10,28,1,48775191.42824789
10,29,1,50509551.80455704
10,30,1,48551090.780627444
10,31,1,47106880.39348749
10,32,1,48966455.42729297
10,33,1,45920715.953173175
10,34,1,46359008.3600918
10,35,1,47599700.134171836
10,36,1,46073347.78298278
10,37,1,45462028.54827118
10,38,1,47630490.9036137
10,39,1,48427529.319868356
10,40,1,47717653.11244342
10,41,1,47086753.63657774
10,42,1,42688047.7462126
10,43,1,42895979.887508206
10,44,1,41704565.14108147
10,45,1,41895972.90464164
10,46,1,40224587.30396107
10,47,1,38012605.27118581
10,48,1,35092882.45416265
10,49,1,29769723.678336885
10,50,1,0
20,0,1,95421373.65498509
20,1,1,85761416.4595059
20,2,1,80048847.53384423
20,3,1,77550148.51851948
20,4,1,74873788.86514355
20,5,1,71776691.71447507
20,6,1,73947290.34457901
20,7,1,68528371.45151407
20,8,1,66961012.10159838
20,9,1,67664802.25866711
20,10,1,64840145.1906227
20,11,1,66781120.246971436
20,12,1,68789726.46154903
20,13,1,66876141.70802026
20,14,1,65559877.5066821
20,15,1,64959663.130847976
20,16,1,65217036.35797777
20,17,1,66714075.48157071
20,18,1,65927112.484348096
